fEleEle1_r2	fEleEle1_r1	fAciRut3_r	fArcCen1_r	kPetMar1_r	fParRan2_r	fAnaTes1_d	fAnaTes1_r	fCycLum1_r	fDenClu1_r	fEsoLuc1_r	fSebUmb1_r	fHipHip1_r	fMegCyp1_r	fAntMac1_r1	fAntMac1_r2	fAntMac1_d	aBufBuf1_r1	aBufBuf1_r2	aRanTem1_r	aRanTem1_dr	aDenEbr1_r1	aDenEbr1_r2	rGopFla2_r	rDerCor1_r	rGopEvg1_r	rLacAgi1_dr	mZalCal1_r	mTriVul1_r1	mTriVul1_r2	mMusErm1_r	mPipPip1_r2	mLynCan4_r2	mLynCan4_r1	mTamTet1_r	mLutLut1_r	mOrnAna1_r	mLemCat1_r2	mLemCat1_r1	mMyoMyo1_r2	mMyoMyo1_r1	mRhiFer1_r1	mPhyDis1_r	mPipKuh1_r2	mPipKuh1_r1	mPipPip1_r1	bCarCri1_dr	bFalRus1_r	bBalReg1_d	bBalReg1_r	bCatUst1_d	bAcaChl1_d	bFalNau1_r1	bFalNau1_r2	bSteHir1_d	bMerNub1_rd	bStrHab1_r	bMelUnd1_d	bCucCan1_r	bAquChr1_r	bPogPus1_rd	bCicMag1_dr	bAlcTor1_d	bPluApr1_r	bPluApr1_d	bCalAnn1_d	bNycGra1_rd	bHemCom1_d
			-2	7	16	2	9	5		67		90	52	127	-52	-25			88	-35	50	64	-55	-63		-25	-40	-3	-38	-3	18	-27	3	7	-4	37	-2	-7	4	-1	-4	34	-13	-17	168							52	24			45	-5		-64	-160	144	-83	-343	119	901	359	227
			-6	-11	13	0	5	24		10		60	7	-47	-61	-16			23	-98	164	-5	-52	-10		-75	-31	10	4	-6	-29	-11	-12	31	4	25	15	112	38	10	5	28	-19	69	4							17	1			65	64		-56	538	406	55	-321	123	-111	-263	48
			-6	14	-8	32	2	26		19		100	10	68	-111	-3			60	20	50	13	-62	30		80	-3	-5	-23	37	11	-6	73	8	2	2	-3	-11	57	-21	52	80	-21	-16	3							45	-4			-329	33		181	190	558	-64	-111	64	-106	275	81
			-1	0	43	7	-2	-7		65		-11	70	7	-98	-23			51	-315	15	70	-50	-25		94	-5	-22	46	32	-8	-13	-1	3	9	95	-5	-65	59	-14	24	-32	-28	3	146							-87	13			19	70		-235	-71	196	37	-84	244	-132	1032	201
			-6	-9	-4	7	2	-13		19		3	65	-6	37	4			61	186	-17	187	-50	-11		4	-65	11	33	-3	82	16	-1	-9	32	80	-1	-52	8	-3	-76	-20	-14	10	-17							44	33			34	53		-188	140	190	-55	-220	53	-23	252	190
			-2	1	-23	21	7	0		22		3	45	-23	217	-16			15	-15	6	181	-48	-13		-68	8	-13	22	23	-6	5	13	3	-11	-11	-5	-36	-4	6	29	15	-41	-6	-14							8	16			-25	61		44	273	349	19	63	72	209	2205	146
			-3	1	-19	-4	-4	9		36		51	-20	143	428	44			-1	-199	39	45		-29		-29	-39	-1	54	14	20	13	77	232	-7	-16	-6	-3	82	1	-13	12	-17	23	153							30	14			37	183		-109	163	806	-61	6	122	148	50	127
			-6	-40	-50	-4	-1	1		10		135	-114	117	-4	220			66	-48	16	99		-27		13	-2	-20	-21	18	0	-18	74	222	-3	-78	5	-1	8	-4	-14	1	-20	-80	144							-95	24			65	2		-69	-7	287	-39	-55	225	238	380	282
			-10	-36	-83	16	-5	5		52		224	-116	216	-113	9			64	-1500	627	133		0		-55	-28	19	-4	26	27	-3	223	4	-27	70	3	-36	12	-4	-42	47	-13	15	-10							48	7			-338	39		-141	36	249	12	-51	257	219	962	-106
			7	-32	-25	-11	9	76		-3		1	-228	12	-110	201			40	-1368	119	130		-8		42	-2	25	37	38	-21	2	7	8	16	23	-3	1	62	-15	-16	31	-24	7	59							11	17			116	148		-145	-29	193	-54	1	1169	-59	2103	-24
			3	-13	-5	19	-11	69		148		102	-159	23	-113	16			41	22	127	129		-19		-48	-1	-19	-57	-15	-1	-3	-7	-9	-24	104	0	-65	70	-100	-6	-41	-1	-16	-36							-19	6			73	41		-116	131	277	-72	129	268	19	-218	50
			-2	-15	-11	-15		78		26		34	116	-16	21	25			9	-169	43	159		-23		129	-50	-65	-82	-12	-5	-18	-7	11	7	32	-2	-93	-12	-7	37	-7	-14	20	-10							-40	15			52	-18		57	560	77	-74	929	281	151	2384	58
			4	-23	-22	-11		84		42		-1	94	31	-110	9			11	205	-43	104		-13		-20	-4	-22	-26	15	12	-21	64	-4	2	87	-4	-67	17	8	-10	5	-43	-4	8							-110	18			-37	41		30	293	275	449	330	421	128	122	554
			4	-7	-8	24		28		37		12	43	19	27	22			59	-168	8	328		5		22	-24	-14	122	19	-16	-3	79	3	0	16	-5	-41	-11	-4	-2	-28	-38	-28	-6							72	70			14			-215	-216	-22	474	34	186	16	-71	-77
			-2	1	-20	10		-5		10		47	45	60	102	42			221	2205	36	10		-1		185	9	-43	-67	-23	-15	26	81	-5	-1	110	-1	-43	-11	-8	1	42	7	25	-20							26	9			100			-62	34	241	-106	981	68	308	-423	225
				-9	23	513		79		-25		-29	-163	-10	48	5			10	-48	11	63		-81		-105	-30	-17	-31	9	-24	-2	102	2	-4	29	-4	-30	22	-6	-7	13	-14	7	-24							-79	21			67			-153	-151	151	-89	121	152	471	178	63
				-9	45	13		65		-13		58	-192	7	-52	-21			42	-149	106	9		-5		-50	-40	-16	-41	4	11	-1	71	235	-3	12	-6	-9	1	-18	-31	11	-21	0	43							-58	18			18			-54	234	559	-36	-372	156	98	-492	351
				3	-17	39		42		-13		53	-32	-191	-96	69			352	-548	107	66		-13			-36	-21	26	16	-24	-15	152	-8	-3	62	-6	-8	57	14	-14	8	-64	11	19							-62	11			-5			-100	59	421	-19	-367	134	-14	1502	294
				-4	-11	45		9		-21		-1	18	115	-112	-19			26	-201	15	147		-16			-28	-3	-68	82	-10	0	-16	-2	-9	66	-2	18	-9	-3	-11	-73	-6	-73	-6							38	4			-28			-160	111	982	-15	-342	113	74	-83	86
