fEleEle1_r2	fEleEle1_r1	fAciRut3_r	fArcCen1_r	kPetMar1_r	fParRan2_r	fAnaTes1_d	fAnaTes1_r	fCycLum1_r	fDenClu1_r	fEsoLuc1_r	fSebUmb1_r	fHipHip1_r	fMegCyp1_r	fAntMac1_r1	fAntMac1_r2	fAntMac1_d	aBufBuf1_r1	aBufBuf1_r2	aRanTem1_r	aRanTem1_dr	aDenEbr1_r1	aDenEbr1_r2	rGopFla2_r	rDerCor1_r	rGopEvg1_r	rLacAgi1_dr	mZalCal1_r	mTriVul1_r1	mTriVul1_r2	mMusErm1_r	mPipPip1_r2	mLynCan4_r2	mLynCan4_r1	mTamTet1_r	mLutLut1_r	mOrnAna1_r	mLemCat1_r2	mLemCat1_r1	mMyoMyo1_r2	mMyoMyo1_r1	mRhiFer1_r1	mPhyDis1_r	mPipKuh1_r2	mPipKuh1_r1	mPipPip1_r1	bCarCri1_dr	bFalRus1_r	bBalReg1_d	bBalReg1_r	bCatUst1_d	bAcaChl1_d	bFalNau1_r1	bFalNau1_r2	bSteHir1_d	bMerNub1_rd	bStrHab1_r	bMelUnd1_d	bCucCan1_r	bAquChr1_r	bPogPus1_rd	bCicMag1_dr	bAlcTor1_d	bPluApr1_r	bPluApr1_d	bCalAnn1_d	bNycGra1_rd	bHemCom1_d
																																			-6		-2	-35				1	-25	5																							
																																			-11		5	-46				-58	-46	99																							
																																			-5		0	-51				20	-13	20																							
																																			-23		5	-43				171	-26	-75																							
																																			-5		-4	-83				18	17	-11																							
																																			-4		13	-53				-103	1	14																							
																																			8		2	-48				69	-50	14																							
																																			-8		8	-62				35	26	25																							
																																			7		4	-61				52	-2	72																							
																																			3		-3	-60				-36	2	-12																							
																																			-2		-2	-69				-72	-26	-54																							
																																			-7		1	-72				-31	-18	17																							
																																			24		-1	-70				45	-15	4																							
																																			-22		5	-63				-10	-23	14																							
																																			6		7	-63				-70	-115	8																							
																																			-1		-2	-66				18	14	-76																							
																																			-1		14	-73				8	11	4																							
																																			-6		0	-63				-36	-2	28																							
																																			-1		0	-70				31	-31	3																							
																																			-11		6	-60				80	8	0																							
																																			-4		-1	-73				7	-6	66																							
																																			-49		5	-62				-17	-3	-13																							
																																			-7		0	-56				108	-2	-25																							
																																			-31		-1	-85				21	-4	1																							
																																			35		-9	-61				36	117	-14																							
																																			16		-7	-67				25	-6	47																							
																																			1		0	-61				4	42	25																							
																																			-8		2	-68				-34	32	34																							
																																			-4		0	-54				47	49	30																							
																																			3		36	-85				-45	-8	37																							
																																			-6		16	-81				19	3	90																							
																																			-7		4	-80				4	-4	152																							
																																			-7		0	-88				17	-18	2																							
																																			-3		4	-106				18	3	-164																							
																																			12		-4	-106				-19	29	84																							
																																			-4		9	-123				-4	-7	-23																							
																																			4		-1					-60	3	85																							
																																			11		2					34	-9	15																							
																																			20		-3					53	-4	3																							
																																			0		3					38	-21	9																							
																																			-3		-1					22	-7	46																							
																																			25		-5					44	-18	13																							
																																			-34		14					3	-15	147																							
																																			2		14					-49	-22	8																							
																																			-3		-4					-74	2	44																							
																																			7		2					-57	1	29																							
																																			-11		17					8	-34	-14																							
																																			0		5					-120	-4	-11																							
																																			-1		-3					-71	-4	20																							
																																			-7		5					2	-25	1																							
																																			-100		-10					-70	4	-40																							
																																			6		2					4	-10	-6																							
																																			-11		13					-67	-5	-2																							
																																			8		13					11	-5	23																							
																																			-11		0					-16	-27	5																							
																																			-1		2					-28	-2	114																							
																																			0		1					44	-17	176																							
																																			-8		9					18	-11	-3																							
																																			-30		12					63	8	9																							
																																			-7		3					-24	19	33																							
																																			-9		-4					29	-14	-8																							
																																			3		1					50	-20	-6																							
																																			1		-14					18	17	-5																							
																																			5		-10					25	-20	35																							
																																			-3		-8					38	-2	-80																							
																																			-7		22					43	-17	5																							
																																			11		-5					-36	-5	0																							
																																			-1		4					-46	-24	-22																							
																																			10		6					-52	-10	14																							
																																			6		-1					-16	-31	4																							
																																			-18		-1					-25	-11	6																							
																																			17		-7					-19	-7	-11																							
																																			22		-4					85	-5	0																							
																																			-11		-3					-3	30	178																							
																																			-5		1					19	-18	-3																							
																																			-6		15					18	-30	6																							
																																			3		-1					7	-2	-3																							
																																			-54		-3					-28	48	0																							
																																			10		-3					74	6	81																							
																																			30		0					-1	-7	-77																							
																																			0		-8					-29	-15	-1																							
																																			5		-1					-68	-42	7																							
																																			-2		-3					2	28	-4																							
																																			-9		-12					19	-14	32																							
																																			45		-1					29	-31	-74																							
																																			0		0					-54	-18	10																							
																																			26		1					52	-19	221																							
																																			-10		1					10	10	-13																							
																																			0		-5					9	-10	34																							
																																			30		-1					35	12	29																							
																																			-9		-6					-16	-25	20																							
																																			6		1					-6	-19	16																							
																																			-30		-10					-5	-24	-21																							
																																			1		6					57	-14	30																							
																																			8		1					10	-25	9																							
																																			14		-4					25	5	4																							
																																			1		-7					-16	-25	124																							
																																			-6		0					2	-3	5																							
																																			-4		0					-42	-11	22																							
																																			-17		-1					-29	8	12																							
																																			17		1					-36	26	-30																							
																																			-1		-8					140	-20	13																							
																																			-2		-6					34	-4	19																							
																																			4		4					5	-17	4																							
																																			-7		-3					39	-2	-16																							
																																			6		-4					18	6	-10																							
																																			31		-24					6	-10	-80																							
																																			30		6					1	-12	-78																							
																																			-7		-5					3	-18	-83																							
																																			-12		1					27	47	-82																							
																																			-2		3					26	-25	2																							
																																			-4		-1					41	-20	-78																							
																																			1		0					2	-20	-86																							
																																			2		3					64	6	-1																							
																																			-3		-2					-28	-26	1																							
																																			1		6					-71	-15	-2																							
																																			19		-6					5	-24	11																							
																																			6		0					-55	7	-85																							
																																			3		2					1	-1	13																							
																																			-7		11					5	-33	-85																							
																																			142		3					-20	-7	77																							
																																			-7		6					26	-5	62																							
																																			-4		-2					10	-2	32																							
																																			-1		-1					20	-3	-5																							
																																			3		-9					-52	3	3																							
																																			17		-9					42	-17	2																							
																																			3		-4					-78	-15	-80																							
																																			3		-1					-55	-6	17																							
																																			-8		-9					-59	-25	-2																							
																																			-4		8					-1	16	6																							
																																			-3		-3					41	-16	36																							
																																			-2		-3					-3	-8	-74																							
																																			3		3					62	3	19																							
																																			-3		2					5	-21	12																							
																																			1		8					19	9	-93																							
																																			-6		2					27	-28	-22																							
																																			-5		-4					6	63	12																							
																																			0		-4					-33	28	16																							
																																			4		10					60	-3	-5																							
																																			-6		-20					-28	-4	26																							
																																			-6		-2					39	4	29																							
																																			-5		4					-14	-18	33																							
																																			-6		-5					-32	20	-17																							
																																			-3		0					35	-6	-6																							
																																			-18		-4					-29	-5	7																							
																																			-21		-2					-28	-17	119																							
																																			-2		37					4	-22	17																							
																																			-3							57	-19	0																							
																																			14							23	8	1																							
																																			-14							107	-21	-7																							
																																			-6							57	-8	-62																							
																																			7							28	-56	50																							
																																			5							-45	-19	-9																							
																																			-7							42	7	-7																							
																																			0							-24	-26	14																							
																																			-11							23	-13	21																							
																																			-4							1	-13	20																							
																																			-4							23	-19	9																							
																																			-4							114	-8	27																							
																																			-5							82	-24	-11																							
																																			0							9	-19	-9																							
																																			-5							26	-5	18																							
																																			-4							-6	-28	20																							
																																			-3							-77	-20	9																							
																																			0							-5	2	10																							
																																			-9							8	37	34																							
																																			-14							32	-13	65																							
																																			-1							14	2	84																							
																																			0							9	-21	-2																							
																																			51							-7	0	160																							
																																			-6							-3	-26	-10																							
																																			9							7	-10	167																							
																																			8							48	-12	-73																							
																																			-48							-22	-3	-1																							
																																			23							41	-3	5																							
																																			-6							28	7	4																							
																																			-1							15	-21	-4																							
																																			1							28	-6	17																							
																																			8							21	6	1																							
																																			-4							93	0	9																							
																																			0							-6	-18	-68																							
																																			-83							-21	-27	31																							
																																			-3							7	-1	1																							
																																			54							124	-51	21																							
																																			-6							-16	-29	46																							
																																			-6							2	-96	-7																							
																																			0							2	-24	111																							
																																			5							22	-34	-5																							
																																			19							43	-11	100																							
																																			-26							65	-24	-91																							
																																			26							7	30	22																							
																																			10							68	-5	2																							
																																			-7							-8	3	-8																							
																																			1							18	7	6																							
																																			-4							0	-34	134																							
																																			3							0	-10	16																							
																																			-26							-7	-2	-9																							
																																			-7							-52	-20	190																							
																																			-2							-33	-7	32																							
																																			-8							13	-19	3																							
																																			-22							4	3	-3																							
																																			62							36	0	8																							
																																			-6							-46	33	38																							
																																			7							137	23	-80																							
																																			3							11	-10	91																							
																																			28							-33	-7	18																							
																																			-2							-92	9	12																							
																																			3							9	8	5																							
																																			-5							12	-6	6																							
																																			9							-3	-3	-2																							
																																			-10							-14	0	18																							
																																			-9							46	-15	6																							
																																			-6							90	-22	23																							
																																			4							50	6	-6																							
																																			-2							-123	-18	-80																							
																																			-7							2	-19	7																							
																																			-5							-60	-52	6																							
																																			12							15	-33	12																							
																																			5							-67	-25	-85																							
																																			-6							41	0	-8																							
																																			0							12	-25	18																							
																																			-6							17	0	14																							
																																			-4							37	3	19																							
																																			-7							46	-4	64																							
																																			-2							-44	-33	39																							
																																			-5							40	-31	18																							
																																			5							13	-23	-4																							
																																			5							29	-5	-5																							
																																			-11							116	-17	-27																							
																																			-3							40	-78	-24																							
																																			-16							0	-4	-73																							
																																			-3							55	-3	-12																							
																																			10							-38	-13	-58																							
																																			-10							-4	-15	6																							
																																			2							4	-5	19																							
																																			12							40	-12	-1																							
																																			23							-30	5	-5																							
																																			-5							-17	1	15																							
																																			21							-14	-12	10																							
																																			-2							58	18	1																							
																																			-10							5	27	3																							
																																			-49							72	-25	-13																							
																																			6							71	-6	8																							
																																			1							7	-12	-2																							
																																			-4							68	-11	12																							
																																			0							6	-22	21																							
																																			27							14	-28	-3																							
																																			2							-48	-21	28																							
																																			0							36	-26	-76																							
																																			3							-9	-22	6																							
																																			73							6	-21	14																							
																																			-5							-2	14	9																							
																																			19							63	-3	-9																							
																																			-4							81	-21	0																							
																																			12							6	0	-69																							
																																			-11							63	-25	-6																							
																																			7							-88	-3	23																							
																																			8							-12	-18	3																							
																																			3							54	-26	37																							
																																			6							71	-28	-7																							
																																			-1							14	-28	17																							
																																			19							97	-6	13																							
																																			-2							-40	-26	22																							
																																			-11							9	-11	-6																							
																																			8							-4	1	26																							
																																			55							-19	-14	52																							
																																			-4							24	-5	9																							
																																			9							-52	-27	-5																							
																																			-2							-33	-19	-17																							
																																			-9							1	-10	-4																							
																																			22							-15	-19	18																							
																																			-12							-35	-64	4																							
																																			9							-9	-15	13																							
																																			-17							6	13	12																							
																																			-9							-19	-2	12																							
																																			7							15	6	3																							
																																			1							22	-18	19																							
																																			-15							-35	-19	-4																							
																																			-9							18	-8	-17																							
																																			-3							-39	-12	16																							
																																			28							14	-9	-13																							
																																			-28							-30	-26	-17																							
																																			-3							2	-11	-11																							
																																			18							16	9	86																							
																																			-7							17	1	2																							
																																			42							10	-32	-4																							
																																			-7							11	-11	30																							
																																			-2							6	-5	-6																							
																																			-9							-19	-9	-1																							
																																			17							-40	-8	12																							
																																			-7							9	-10	-82																							
																																			14							34	-32	12																							
																																			-46							0	-16	181																							
																																			1							-18	9	23																							
																																			-4							4	-23	101																							
																																			3							2	113	22																							
																																			-2							8	-26	47																							
																																			-2							43	-8	57																							
																																			-9							8	-4	6																							
																																			-1							-2	-51	-3																							
																																			-4							8	-25	17																							
																																			-6							9	3	26																							
																																			16							16	8	8																							
																																			-49							50	-9	22																							
																																			17							19	1	12																							
																																			-8							-21	-25	18																							
																																			19							21	-21	109																							
																																			-9							13	26	8																							
																																			-7							7	9	97																							
																																			-27							-11	1	-1																							
																																			-20							-2	1	76																							
																																			-11							-71	-4	16																							
																																			-10							2	6	42																							
																																			2							5	11	-3																							
																																			1							1	23	115																							
																																			1							13	-33	13																							
																																			-28							4	57	-75																							
																																			-5							-3	3	-4																							
																																			12							35	-21	6																							
																																			-2							-30	-23	59																							
																																			-5							8	-22	13																							
																																			-7							135	-13	67																							
																																			-3							-5	-25	2																							
																																			-5							30	13	28																							
																																			-32							-1	-22	10																							
																																			-11							-57	-13	23																							
																																			8							-48	-16	4																							
																																			-1							-33	-11	27																							
																																			5							21	-8	33																							
																																			-8							11	-36	4																							
																																			0							32	-18	7																							
																																			4							18	-29	25																							
																																			49							105	9	3																							
																																			0							56	23	-16																							
																																			-12							61	-11	0																							
																																			10							9	10	78																							
																																			-3							34	3	67																							
																																			14							-32	-17	63																							
																																			-10							-55	6	10																							
																																			8							9	-21	30																							
																																			-2							-19	7	32																							
																																			-9							-35	-17	302																							
																																			-13							33	-19	286																							
																																			-4							-38	-8	68																							
																																			-5							16	-22	-7																							
																																			17							-35	-17	-11																							
																																			-13							3	22	-3																							
																																			-2							57	-23	-7																							
																																			7							42	10	-2																							
																																			-3							-21	-7	-9																							
																																			-14							13	-22	0																							
																																			3							35	15	3																							
																																			-7							5	-18	2																							
																																			1							5	41	-19																							
																																			1							60	-11	-2																							
																																			5							12	-2	0																							
																																			-9							-19	-16	-11																							
																																			21							36	2	15																							
																																			4							46	-13	19																							
																																			-28							55	-16	-3																							
																																			1							-1	-24	31																							
																																			-2							-50	-47	27																							
																																			-7							-71	-24	-3																							
																																			-5							7	-63	0																							
																																			-10							-18	-63	42																							
																																			-5							46	-58	-11																							
																																			11							8	-84	108																							
																																			-3							38	12	3																							
																																			0							-46	-26	-87																							
																																			2							6		9																							
																																			3							6		34																							
																																			6							32		-1																							
																																			20							-19		28																							
																																			4							43		16																							
																																			-5							-26		97																							
																																			-1							18		110																							
																																			-2							-55		7																							
																																			1							-53		-4																							
																																			-12							-12		31																							
																																			6							34		5																							
																																			-5							26		76																							
																																			3							17		129																							
																																			9							-1		-30																							
																																			6							22		89																							
																																			12							-3		84																							
																																			2							-13		11																							
																																			-4							21		7																							
																																			11							19		45																							
																																			20							7		25																							
																																			6							9		35																							
																																			4							40		42																							
																																			-7							-18		3																							
																																			0							16		-3																							
																																			-11							23		70																							
																																			3							64		15																							
																																			4							-9		12																							
																																			0							64		-15																							
																																			-2							25		14																							
																																			-5							-24		16																							
																																			-9							-126		16																							
																																			-2							-73		21																							
																																			-7							-73		25																							
																																			-11							-36		17																							
																																			-1							32		-17																							
																																			-7							3		2																							
																																			-6							10		6																							
																																			-1							34		6																							
																																			-6							-30		11																							
																																			-7							-13		5																							
																																			-2							24		5																							
																																			-7							8		20																							
																																			-3							215		-82																							
																																			-28							2		8																							
																																			-8							-40		15																							
																																			-3							-2		-1																							
																																			-4							1		-6																							
																																			-1							-22		13																							
																																			-2							4		-9																							
																																			-1							0		-17																							
																																			-2							11		10																							
																																			36							-27		4																							
																																			-6							38		-7																							
																																			1							52		21																							
																																			-20							74		35																							
																																			-3							46		18																							
																																			-9							17		-9																							
																																			-5							20		15																							
																																			-2							31		-2																							
																																			-6							-57		3																							
																																			-25							-48		22																							
																																			-9							-21		151																							
																																			-18							7		-91																							
																																			-1							35		22																							
																																			-14							4		2																							
																																			1							-11		88																							
																																			-5							-5		13																							
																																			-1							-36		171																							
																																			-26							29		-3																							
																																			2							62		94																							
																																			-25							-42		88																							
																																			-2							15		88																							
																																			2							56		95																							
																																			5							-37		81																							
																																			-13							-36		96																							
																																			-21							48		83																							
																																			0							13		92																							
																																			-3							-33		103																							
																																			0							0		30																							
																																			1							-21		70																							
																																			-9							19		5																							
																																			0							-7		-6																							
																																			7							2		9																							
																																			-3							19		-53																							
																																			3							-31		-8																							
																																			6							2		3																							
																																			2							37		-6																							
																																			-19							-1		-14																							
																																			4							55		17																							
																																			-4							-65		17																							
																																			1							4		-123																							
																																			-1							49		-30																							
																																			-11							-37		-21																							
																																			-35							71		-1																							
																																			-16							-66		-19																							
																																			-10							-59		-3																							
																																			-3							-1		-10																							
																																			-8							5		0																							
																																			0							-34		-3																							
																																			-45							6		-8																							
																																			4							-5		5																							
																																			11							10		-9																							
																																			-9							-39		-7																							
																																			-20							-12		51																							
																																			-1							2		-2																							
																																			-1							66		-8																							
																																			2							-39		13																							
																																			-13							3		-73																							
																																			4							36		18																							
																																			-4							-37		-23																							
																																			-6							-91		29																							
																																			-12							16		7																							
																																			-25							-7		8																							
																																			4							70		7																							
																																			19							49		-32																							
																																			3							-1		91																							
																																			0							24		88																							
																																			-6							77		84																							
																																			5							-19		83																							
																																			-5							5		84																							
																																			-30							146		69																							
																																			-6							99		75																							
																																			1							-9		70																							
																																			-5							-52		77																							
																																			-4							-26		4																							
																																			-7							63		95																							
																																			-14							91		92																							
																																			5							-11		106																							
																																			4							-7		-17																							
																																			-7							-52		1																							
																																			28							-26		-5																							
																																			-5							-33		35																							
																																			-8							-1		18																							
																																			-12							-55		181																							
																																			-7							23		15																							
																																			5							31		10																							
																																			-6							-41		147																							
																																			-9							-6		146																							
																																			11							15		13																							
																																			5							-17		38																							
																																			-23							-22		6																							
																																			0							-26		4																							
																																			-5							33		-15																							
																																			-2							43		1																							
																																			-5							11		15																							
																																			-6							-31		7																							
																																			-6							-3		10																							
																																			-6							-10		4																							
																																			6							70		-51																							
																																			0							174		0																							
																																			-6							3		43																							
																																			-1							-4		2																							
																																			0							96		2																							
																																			5							-17		8																							
																																			-5							-17		0																							
																																			-3							42		13																							
																																			-6							-2		-13																							
																																			-6							-50		14																							
																																			-2							10		12																							
																																			-13							-2		38																							
																																			7							1		45																							
																																			-5							24		16																							
																																			7							12		2																							
																																			-3							36		-4																							
																																			-3							57		167																							
																																			9							-15		25																							
																																			-14							3		1																							
																																			-10							66		74																							
																																			47							3		-69																							
																																			-4							16		90																							
																																			-6							-19		76																							
																																			-10							-18		153																							
																																			-2							6		117																							
																																			-5							18		126																							
																																			12							-19		127																							
																																			-5							-52		165																							
																																			-5							38		1																							
																																			-7							-15		7																							
																																			0							53		-15																							
																																			1							33		-1																							
																																			5							26		146																							
																																			29							48		87																							
																																			-10							0		67																							
																																			1							1		139																							
																																			3							4		-8																							
																																			-31							-34		21																							
																																			14							60		11																							
																																			20							19		-78																							
																																			-2							22		8																							
																																			-6							-7		144																							
																																			17							37		-66																							
																																			17							-31		-61																							
																																			1							0		-67																							
																																			-8							-72		-75																							
																																			-11							-2		-61																							
																																			-3							4		-59																							
																																			1							6		-59																							
																																			0							-37		-60																							
																																			3							-7		13																							
																																			-3							17		-60																							
																																			-3							3		-5																							
																																			14							-41		184																							
																																			-3							-33		-167																							
																																			6							-129		-8																							
																																			0							79		41																							
																																			-20							-12		3																							
																																			0							-31		-11																							
																																			4							59		40																							
																																			6							66		20																							
																																			-5							55		-11																							
																																			-4							85		5																							
																																			-9							9		-1																							
																																			-1							5		-2																							
																																			-3							10		-8																							
																																			-2							27		-1																							
