edits	edit_fraction	reads	read_fraction	gbp	gbp_fraction
3680	19.3867874800	5086	62.9611289900	32690769	77.3435100000
3690	19.4394689700	4662	57.7123050200	30888209	73.0788101600
3700	19.4921504500	4795	59.3587521600	31659793	74.9043106500
3710	19.5448319400	4339	53.7137905400	30240273	71.5458500600
3720	19.5975134300	4699	58.1703391900	31464441	74.4421248500
3730	19.6501949200	5094	63.0601634000	32813037	77.6327854300
3740	19.7028764000	4577	56.6600643700	30740938	72.7303798100
3750	19.7555578900	4365	54.0356523800	30111005	71.2400132400
3760	19.8082393800	4326	53.5528596100	29858404	70.6423812900
3770	19.8609208700	4416	54.6669967800	30790676	72.8480555800
3780	19.9136023600	4132	51.1512750600	29476259	69.7382595300
3790	19.9662838400	4836	59.8663035400	32559676	77.0333553900
3800	20.0189653300	4079	50.4951720700	29123927	68.9046727300
3810	20.0716468200	4786	59.2473384500	31790844	75.2143658900
3820	20.1243283100	4688	58.0341668700	31384981	74.2541294100
3830	20.1770097900	4703	58.2198564000	31426527	74.3524236300
3840	20.2296912800	4614	57.1180985300	30895357	73.0957217100
3850	20.2823727700	4321	53.4909631000	30301982	71.6918481800
3860	20.3350542600	4170	51.6216885300	29254547	69.2137082600
3870	20.3877357400	4375	54.1594454000	30007964	70.9962272200
3880	20.4404172300	4707	58.2693736000	31386843	74.2585347400
3890	20.4930987200	3788	46.8927952400	27665793	65.4548547800
3900	20.5457802100	4153	51.4112404000	29109633	68.8708543700
3910	20.5984617000	4120	51.0027234400	29103535	68.8564270400
3920	20.6511431800	4416	54.6669967800	30653197	72.5227922500
3930	20.7038246700	4191	51.8816538700	29514924	69.8297375500
3940	20.7565061600	4196	51.9435503800	28797644	68.1327155900
3950	20.8091876500	4271	52.8719980100	29089715	68.8237301200
3960	20.8618691300	3913	48.4402079700	28149612	66.5995283600
3970	20.9145506200	3912	48.4278286700	27889008	65.9829620200
3980	20.9672321100	4592	56.8457538900	30803755	72.8789993600
3990	21.0199136000	3481	43.0923495900	25988406	61.4863033500
4000	21.0725950900	4378	54.1965833100	30102466	71.2198107100
4010	21.1252765700	4194	51.9187917800	29485816	69.7608705600
4020	21.1779580600	3684	45.6053478500	27230742	64.4255620400
4030	21.2306395500	4123	51.0398613500	28853590	68.2650789500
4040	21.2833210400	3594	44.4912106900	26385126	62.4249082900
4050	21.3360025200	4197	51.9559296800	29017048	68.6518063300
4060	21.3886840100	3881	48.0440703100	28170732	66.6494964400
4070	21.4413655000	3844	47.5860361400	27621893	65.3509912100
4080	21.4940469900	3287	40.6907650400	25201834	59.6253425600
4090	21.5467284700	4139	51.2379301800	28851891	68.2610592700
4100	21.5994099600	4172	51.6464471400	28642636	67.7659801700
4110	21.6520914500	3693	45.7167615700	27033982	63.9600450300
4120	21.7047729400	3391	41.9782124200	25546003	60.4396164100
4130	21.7574544300	3337	41.3097301300	24716040	58.4759963000
4140	21.8101359100	4173	51.6588264400	29277332	69.2676155900
4150	21.8628174000	3670	45.4320376300	26473348	62.6336338500
4160	21.9154988900	3302	40.8764545600	25248940	59.7367912500
4170	21.9681803800	3322	41.1240406000	25195189	59.6096210600
4180	22.0208618600	3296	40.8021787500	24557133	58.1000361800
4190	22.0735433500	3668	45.4072790200	26368828	62.3863486400
4200	22.1262248400	3164	39.1681109100	23955487	56.6765941900
4210	22.1789063300	3377	41.8049022000	25828688	61.1084244800
4220	22.2315878200	3610	44.6892795200	26749440	63.2868434600
4230	22.2842693000	3435	42.5229017000	25259103	59.7608360200
4240	22.3369507900	3009	37.2493191300	23709446	56.0944826300
4250	22.3896322800	3718	46.0262441100	26427621	62.5254477500
4260	22.4423137700	3285	40.6660064300	24436422	57.8144444800
4270	22.4949952500	3510	43.4513493400	25442609	60.1949952200
4280	22.5476767400	2644	32.7308739700	21871348	51.7457029800
4290	22.6003582300	3490	43.2037633000	26334778	62.3057893100
4300	22.6530397200	3779	46.7813815300	27050106	63.9981930100
4310	22.7057212000	3626	44.8873483500	26113418	61.7820708400
4320	22.7584026900	3278	40.5793513200	24738992	58.5302987300
4330	22.8110841800	3953	48.9353800400	27455544	64.9574239700
4340	22.8637656700	3629	44.9244862500	25830319	61.1122832800
4350	22.9164471600	2917	36.1104233700	23462755	55.5108332300
4360	22.9691286400	3398	42.0648675400	25102764	59.3909515700
4370	23.0218101300	3204	39.6632829900	24764821	58.5914078900
4380	23.0744916200	3264	40.4060410900	24899377	58.9097556600
4390	23.1271731100	2706	33.4983906900	22011015	52.0761429200
4400	23.1798545900	2654	32.8546669900	22059478	52.1908021600
4410	23.2325360800	2772	34.3154246100	22765105	53.8602541400
4420	23.2852175700	3104	38.4253528100	24164779	57.1717608200
4430	23.3378990600	3165	39.1804902200	24169899	57.1838742900
4440	23.3905805400	2979	36.8779400800	22754443	53.8350287700
4450	23.4432620300	3378	41.8172815000	24605817	58.2152182800
4460	23.4959435200	3204	39.6632829900	23995272	56.7707220300
4470	23.5486250100	2548	31.5424610000	21102828	49.9274516400
4480	23.6013065000	2522	31.2205991500	20785834	49.1774714700
4490	23.6539879800	3380	41.8420401000	25384677	60.0579331600
4500	23.7066694700	2891	35.7885615200	22600158	53.4700039100
4510	23.7593509600	3173	39.2795246300	23938365	56.6360850300
4520	23.8120324500	2890	35.7761822200	22785366	53.9081899000
